measurement,one_way_delay_us
1,0.172780
2,0.172605
3,0.172071
4,0.172764
5,0.172692
6,0.172556
7,0.172733
8,0.172575
9,0.172429
10,0.172400
11,0.171422
12,0.172057
13,0.171647
14,0.172395
15,0.171974
16,0.171185
17,0.171867
18,0.172666
19,0.172263
20,0.172981
21,0.172705
22,0.172947
23,0.172702
24,0.172594
25,0.172314
26,0.172975
27,0.172736
28,0.172151
29,0.172860
30,0.172463
31,0.172699
32,0.172379
33,0.172778
34,0.172172
35,0.172958
36,0.172804
37,0.172629
38,0.172046
39,0.172758
40,0.172584
41,0.172333
42,0.172792
43,0.172173
44,0.172951
45,0.172624
46,0.172911
47,0.172270
48,0.172579
49,0.171580
50,0.172268
51,0.172997
52,0.172672
53,0.172773
54,0.172465
55,0.170589
56,0.171408
57,0.172297
58,0.172356
59,0.172184
60,0.173020
61,0.172819
62,0.172863
63,0.172857
64,0.172022
65,0.172699
66,0.172512
67,0.172567
68,0.172829
69,0.172527
70,0.172454
71,0.172453
72,0.172735
73,0.172471
74,0.172981
75,0.172312
76,0.172804
77,0.172278
78,0.172600
79,0.172215
80,0.172603
81,0.171998
82,0.172776
83,0.172708
84,0.172612
85,0.172490
86,0.172518
87,0.172827
88,0.172508
89,0.172518
90,0.172939
91,0.172317
92,0.172733
93,0.172257
94,0.173012
95,0.172861
96,0.172872
97,0.172256
98,0.173007
99,0.172755
100,0.172781
101,0.172911
102,0.172133
103,0.172846
104,0.172746
105,0.172732
106,0.172945
107,0.172717
108,0.172813
109,0.172759
110,0.171787
111,0.172851
112,0.172748
113,0.172453
114,0.171804
115,0.170475
116,0.171261
117,0.172113
118,0.172924
119,0.172995
120,0.172796
121,0.172667
122,0.172644
123,0.171962
124,0.172697
125,0.172555
126,0.172663
127,0.172470
128,0.172956
129,0.172535
130,0.172956
131,0.172316
132,0.172731
133,0.172299
134,0.172946
135,0.172771
136,0.172874
137,0.172272
138,0.172979
139,0.172871
140,0.172880
141,0.172231
142,0.173006
143,0.172929
144,0.172928
145,0.172371
146,0.172735
147,0.172130
148,0.172897
149,0.172777
150,0.172730
151,0.172187
152,0.172494
153,0.171867
154,0.172569
155,0.171858
156,0.172456
157,0.172549
158,0.172134
159,0.171670
160,0.172431
161,0.172436
162,0.172393
163,0.172831
164,0.172192
165,0.172664
166,0.172937
167,0.172781
168,0.172809
169,0.172857
170,0.172556
171,0.172487
172,0.172517
173,0.172374
174,0.172764
175,0.172242
176,0.172985
177,0.172860
178,0.172773
179,0.172158
180,0.172919
181,0.172708
182,0.172542
183,0.172476
184,0.172799
185,0.172538
186,0.172982
187,0.172401
188,0.172853
189,0.172238
190,0.172947
191,0.172792
192,0.171861
193,0.170778
194,0.171613
195,0.170455
196,0.171270
197,0.172171
198,0.172974
199,0.173022
200,0.171580
201,0.172633
202,0.172732
203,0.172655
204,0.171784
205,0.172526
206,0.172618
207,0.172990
208,0.171746
209,0.172484
210,0.172063
211,0.172758
212,0.171795
213,0.172465
214,0.172479
215,0.172372
216,0.171861
217,0.172592
218,0.172390
219,0.172738
220,0.171851
221,0.172547
222,0.172563
223,0.172968
224,0.171886
225,0.172604
226,0.172660
227,0.172616
228,0.171813
229,0.172513
230,0.172334
231,0.172224
232,0.171884
233,0.172548
234,0.172487
235,0.172875
236,0.171858
237,0.172544
238,0.172635
239,0.172578
240,0.169090
241,0.169910
242,0.170769
243,0.171663
244,0.171435
245,0.172131
246,0.171914
247,0.172639
248,0.172498
249,0.172832
250,0.171861
251,0.172580
252,0.172636
253,0.172605
254,0.171860
255,0.172530
256,0.171930
257,0.164785
258,0.165525
259,0.166339
260,0.167261
261,0.167025
262,0.167891
263,0.168776
264,0.169613
265,0.169429
266,0.170188
267,0.171052
268,0.171068
269,0.171923
270,0.172650
271,0.171844
272,0.172543
273,0.172604
274,0.172929
275,0.171850
276,0.172549
277,0.172623
278,0.172539
279,0.171784
280,0.172463
281,0.172345
282,0.172155
283,0.171811
284,0.172551
285,0.172491
286,0.172889
287,0.171855
288,0.172557
289,0.172647
290,0.172633
291,0.171840
292,0.172519
293,0.172454
294,0.172823
295,0.171824
296,0.172514
297,0.172615
298,0.173018
299,0.171824
300,0.172560
301,0.172701
302,0.172146
303,0.171005
304,0.172570
305,0.172634
306,0.173010
307,0.171872
308,0.172585
309,0.172970
310,0.171659
311,0.171516
312,0.172140
313,0.172895
314,0.172584
315,0.171806
316,0.172552
317,0.172212
318,0.173062
319,0.171827
320,0.170823
321,0.171701
322,0.167149
323,0.167898
324,0.168765
325,0.169593
326,0.170476
327,0.171371
328,0.172254
329,0.171580
330,0.171209
331,0.171889
332,0.172735
333,0.172727
334,0.039975
335,0.039553
336,0.038872
337,0.040183
338,0.039291
339,0.038610
340,0.037720
341,0.037749
342,0.036888
343,0.036086
344,0.035263
345,0.035165
346,0.034315
347,0.033426
348,0.032547
349,0.031777
350,0.030886
351,0.031072
352,0.030197
353,0.029313
354,0.028422
355,0.027542
356,0.027563
357,0.026698
358,0.025870
359,0.025096
360,0.025787
361,0.024953
362,0.024103
363,0.023221
364,0.022329
365,0.021443
366,0.020552
367,0.019661
368,0.020555
369,0.019758
370,0.018883
371,0.018128
372,0.017258
373,0.017584
374,0.016719
375,0.015843
376,0.014961
377,0.015111
378,0.014264
379,0.013476
380,0.013934
381,0.013103
382,0.012231
383,0.011329
384,0.011373
385,0.010577
386,0.009700
387,0.008813
388,0.007941
389,0.008092
390,0.007228
391,0.006359
392,0.005463
393,0.004581
394,0.004654
395,0.003827
396,0.002955
397,0.002098
398,0.001228
399,0.001652
400,0.000790
401,0.000224
402,0.000195
403,0.001002
404,0.001843
405,0.002708
406,0.003574
407,0.003432
408,0.004263
409,0.005117
410,0.006313
411,0.007437
412,0.007053
413,0.007825
414,0.008636
415,0.008553
416,0.009431
417,0.010282
418,0.011005
419,0.010823
420,0.011700
421,0.012516
422,0.013346
423,0.013265
424,0.014420
425,0.015263
426,0.016086
427,0.016900
428,0.016537
429,0.017338
430,0.018155
431,0.017931
432,0.018807
433,0.019701
434,0.020592
435,0.021483
436,0.020905
437,0.021739
438,0.022507
439,0.023268
440,0.023874
441,0.023384
442,0.024185
443,0.024975
444,0.025785
445,0.026614
446,0.122809
447,0.121942
448,0.122635
449,0.123447
450,0.124300
451,0.123432
452,0.124187
453,0.125001
454,0.125819
455,0.126710
456,0.126300
457,0.127035
458,0.126700
459,0.127473
460,0.128362
461,0.129294
462,0.129299
463,0.130076
464,0.130872
465,0.131746
466,0.131451
467,0.132328
468,0.133226
469,0.134127
470,0.135037
471,0.135051
472,0.135818
473,0.136610
474,0.137482
475,0.138307
476,0.138083
477,0.138982
478,0.139813
479,0.140698
480,0.140126
481,0.140821
482,0.141616
483,0.142423
484,0.143242
485,0.142186
486,0.142874
487,0.143712
488,0.144544
489,0.144259
490,0.145204
491,0.146098
492,0.146916
493,0.146813
494,0.147696
495,0.148580
496,0.149385
497,0.148757
498,0.149555
499,0.150449
500,0.151362
501,0.152496
502,0.153406
503,0.154300
504,0.154329
505,0.155161
506,0.156084
507,0.156969
508,0.157892
509,0.158787
510,0.158446
511,0.160478
512,0.161377
513,0.162301
514,0.162268
515,0.163133
516,0.164009
517,0.164877
518,0.165764
519,0.165363
520,0.166239
521,0.167159
522,0.168056
523,0.167994
524,0.168860
525,0.169670
526,0.170497
527,0.170103
528,0.170910
529,0.171796
530,0.171625
531,0.171623
532,0.172421
533,0.172303
534,0.172125
535,0.171873
536,0.172656
537,0.172473
538,0.172487
539,0.171828
540,0.172432
541,0.172465
542,0.172962
543,0.171793
544,0.172523
545,0.172624
546,0.172187
547,0.171767
548,0.172483
549,0.172392
550,0.172540
551,0.171849
552,0.172532
553,0.172600
554,0.172159
555,0.171841
556,0.172639
557,0.172580
558,0.172661
559,0.171731
560,0.172507
561,0.172450
562,0.172485
563,0.171865
564,0.172653
565,0.172724
566,0.172375
567,0.171855
568,0.172643
569,0.172682
570,0.172318
571,0.171816
572,0.172668
573,0.172675
574,0.172819
575,0.171745
576,0.172539
577,0.172507
578,0.172577
579,0.171859
580,0.171889
581,0.172710
582,0.172701
583,0.171862
584,0.172578
585,0.172751
586,0.172280
587,0.171734
588,0.172470
589,0.172548
590,0.172964
591,0.171829
592,0.172604
593,0.172814
594,0.172174
595,0.171798
596,0.172522
597,0.172441
598,0.172454
599,0.171853
600,0.172565
601,0.172787
602,0.172195
603,0.171786
604,0.172531
605,0.172466
606,0.172890
607,0.171830
608,0.172560
609,0.172710
610,0.172598
611,0.170462
612,0.171011
613,0.171916
614,0.172805
615,0.170284
616,0.171132
617,0.171962
618,0.171741
619,0.172547
620,0.172227
621,0.173040
