measurement,one_way_delay_us
1,-0.845847
2,-0.845705
3,-0.846144
4,-0.846140
5,-0.845674
6,-0.845584
7,-0.845972
8,-0.845361
9,-0.846055
10,-0.846007
11,-0.846011
12,-0.844452
13,-0.845228
14,-0.845985
15,-0.846146
16,-0.844569
17,-0.845335
18,-0.846135
19,-0.845806
20,-0.846265
21,-0.846105
22,-0.845001
23,-0.845648
24,-0.845443
25,-0.846243
26,-0.846221
27,-0.846078
28,-0.845909
29,-0.845079
30,-0.845868
31,-0.845536
32,-0.845969
33,-0.845452
34,-0.845028
35,-0.845862
36,-0.845619
37,-0.846081
38,-0.845387
39,-0.845992
40,-0.845871
41,-0.845765
42,-0.845690
43,-0.846007
44,-0.845675
45,-0.845675
46,-0.845873
47,-0.845274
48,-0.845931
49,-0.845855
50,-0.845786
51,-0.845446
52,-0.845898
53,-0.845654
54,-0.845159
55,-0.845854
56,-0.845741
57,-0.846029
58,-0.846008
59,-0.845853
60,-0.844803
61,-0.845735
62,-0.846053
63,-0.845453
64,-0.846254
65,-0.846167
66,-0.845980
67,-0.846060
68,-0.845367
69,-0.846134
70,-0.845951
71,-0.845871
72,-0.845773
73,-0.845790
74,-0.845596
75,-0.846245
76,-0.846235
77,-0.846233
78,-0.846005
79,-0.845928
80,-0.845696
81,-0.845009
82,-0.843861
83,-0.844687
84,-0.845582
85,-0.845403
86,-0.846252
87,-0.845036
88,-0.845860
89,-0.846039
90,-0.845575
91,-0.844829
92,-0.844796
93,-0.845663
94,-0.846171
95,-0.845058
96,-0.845874
97,-0.845798
98,-0.845902
99,-0.845006
100,-0.845728
101,-0.845846
102,-0.845908
103,-0.844997
104,-0.845693
105,-0.845564
106,-0.845594
107,-0.845034
108,-0.845792
109,-0.845911
110,-0.845796
111,-0.843717
112,-0.844305
113,-0.843609
114,-0.844426
115,-0.845200
116,-0.844805
117,-0.845598
118,-0.845081
119,-0.845888
120,-0.845069
121,-0.845749
122,-0.845824
123,-0.845840
124,-0.845016
125,-0.845746
126,-0.845496
127,-0.845453
128,-0.844994
129,-0.845773
130,-0.845742
131,-0.845645
132,-0.845083
133,-0.844889
134,-0.845687
135,-0.846182
136,-0.845017
137,-0.845839
138,-0.845854
139,-0.845924
140,-0.844835
141,-0.845580
142,-0.845580
143,-0.845554
144,-0.845057
145,-0.845849
146,-0.845817
147,-0.845949
148,-0.845024
149,-0.845734
150,-0.845544
151,-0.845547
152,-0.845063
153,-0.844998
154,-0.845854
155,-0.845737
156,-0.845061
157,-0.845759
158,-0.845806
159,-0.845912
160,-0.844959
161,-0.845723
162,-0.845589
163,-0.845657
164,-0.845078
165,-0.845855
166,-0.845922
167,-0.845363
168,-0.844973
169,-0.845655
170,-0.845606
171,-0.845530
172,-0.845065
173,-0.845879
174,-0.845826
175,-0.845977
176,-0.845025
177,-0.845776
178,-0.845685
179,-0.845720
180,-0.845111
181,-0.845881
182,-0.846013
183,-0.845679
184,-0.844986
185,-0.845657
186,-0.845652
187,-0.846173
188,-0.844984
189,-0.845697
190,-0.845865
191,-0.845504
192,-0.844999
193,-0.845762
194,-0.845636
195,-0.845778
196,-0.845000
197,-0.845801
198,-0.845835
199,-0.845941
200,-0.844836
201,-0.845667
202,-0.845700
203,-0.845685
204,-0.845089
205,-0.845821
206,-0.845855
207,-0.846061
208,-0.844673
209,-0.845714
210,-0.845311
211,-0.846134
212,-0.845017
213,-0.845632
214,-0.844980
215,-0.845688
216,-0.845095
217,-0.845884
218,-0.845850
219,-0.845820
220,-0.844971
221,-0.845624
222,-0.845559
223,-0.845517
224,-0.845011
225,-0.845853
226,-0.845795
227,-0.845881
228,-0.845108
229,-0.845033
230,-0.845869
231,-0.845735
232,-0.842375
233,-0.843243
234,-0.844161
235,-0.845002
236,-0.845904
237,-0.846048
238,-0.845031
239,-0.845255
240,-0.846044
241,-0.845852
242,-0.845121
243,-0.844977
244,-0.845784
245,-0.845811
246,-0.845016
247,-0.845798
248,-0.845888
249,-0.845380
250,-0.844979
251,-0.845684
252,-0.845651
253,-0.845752
254,-0.845061
255,-0.845829
256,-0.845779
257,-0.845929
258,-0.845030
259,-0.845781
260,-0.845602
261,-0.845615
262,-0.845097
263,-0.845916
264,-0.845941
265,-0.845383
266,-0.844966
267,-0.845693
268,-0.845716
269,-0.846178
270,-0.845013
271,-0.845678
272,-0.845640
273,-0.846130
274,-0.845109
275,-0.845782
276,-0.845865
277,-0.845583
278,-0.845042
279,-0.845795
280,-0.845676
281,-0.846138
282,-0.845044
283,-0.845769
284,-0.845963
285,-0.845680
286,-0.844980
287,-0.845762
288,-0.845746
289,-0.845873
290,-0.845097
291,-0.845890
292,-0.845805
293,-0.846046
294,-0.845047
295,-0.845718
296,-0.845647
297,-0.846099
298,-0.845035
299,-0.845793
300,-0.845946
301,-0.845675
302,-0.844922
303,-0.845700
304,-0.845679
305,-0.845632
306,-0.845091
307,-0.844965
308,-0.845801
309,-0.845801
310,-0.844043
311,-0.845453
312,-0.844681
313,-0.845414
314,-0.844921
315,-0.845644
316,-0.845086
317,-0.845821
318,-0.845033
319,-0.845684
320,-0.845297
321,-0.846121
322,-0.844944
323,-0.845701
324,-0.845916
325,-0.845482
326,-0.844936
327,-0.845623
328,-0.845334
329,-0.845977
330,-0.845055
331,-0.845704
332,-0.845758
333,-0.846169
334,-0.845067
335,-0.845718
336,-0.845743
337,-0.846156
338,-0.845033
339,-0.845714
340,-0.845505
341,-0.845504
342,-0.844944
343,-0.845646
344,-0.845481
345,-0.845482
346,-0.845069
347,-0.845754
348,-0.845547
349,-0.845585
350,-0.845088
351,-0.845609
352,-0.845483
353,-0.845462
354,-0.845067
355,-0.845763
356,-0.845462
357,-0.846255
358,-0.844988
359,-0.845808
360,-0.845989
361,-0.845558
362,-0.844905
363,-0.845636
364,-0.845521
365,-0.846167
366,-0.845006
367,-0.845705
368,-0.843776
369,-0.844621
370,-0.845513
371,-0.845638
372,-0.845649
373,-0.845000
374,-0.845745
375,-0.845499
376,-0.845462
377,-0.844942
378,-0.845590
379,-0.845414
380,-0.846253
381,-0.844975
382,-0.845765
383,-0.845966
384,-0.845449
385,-0.845020
386,-0.845754
387,-0.845455
388,-0.846130
389,-0.845091
390,-0.845699
391,-0.845882
392,-0.845428
393,-0.844998
394,-0.845754
395,-0.845439
396,-0.846157
397,-0.845108
398,-0.845690
399,-0.845845
400,-0.845361
401,-0.844979
402,-0.845741
403,-0.845396
404,-0.846152
405,-0.845010
406,-0.845703
407,-0.845874
408,-0.846183
409,-0.844839
410,-0.845530
411,-0.844645
412,-0.845626
413,-0.844435
414,-0.845144
415,-0.845884
416,-0.844772
417,-0.844779
418,-0.845511
419,-0.845033
420,-0.845889
421,-0.845009
422,-0.845697
423,-0.845552
424,-0.845524
425,-0.844950
426,-0.845660
427,-0.845368
428,-0.846146
429,-0.844990
430,-0.845706
431,-0.845888
432,-0.845432
433,-0.844873
434,-0.845575
435,-0.845297
436,-0.846025
437,-0.845004
438,-0.845824
439,-0.846020
440,-0.845644
