measurement,one_way_delay_us
456,0.140898
457,0.141647
458,0.142215
459,0.141590
460,0.142446
461,0.143317
462,0.144189
463,0.145096
464,0.146009
465,0.146927
466,0.146125
467,0.146842
468,0.147737
469,0.148616
470,0.149503
471,0.150411
472,0.150141
473,0.150987
474,0.151887
475,0.152739
476,0.153648
477,0.154547
478,0.155451
479,0.155532
480,0.155475
481,0.156264
482,0.157135
483,0.158061
484,0.158970
485,0.158441
486,0.159285
487,0.160110
488,0.160940
489,0.161822
490,0.162763
491,0.163669
492,0.162637
493,0.163551
494,0.164439
495,0.165368
496,0.166234
497,0.165887
498,0.166763
499,0.167667
500,0.167487
501,0.168530
502,0.169431
503,0.170366
504,0.171266
505,0.171271
506,0.172131
507,0.171961
508,0.171733
509,0.172428
510,0.172150
511,0.172872
512,0.171776
513,0.172341
514,0.171734
515,0.170454
516,0.171278
517,0.172158
518,0.172954
519,0.172830
520,0.171266
521,0.171948
522,0.171645
523,0.170734
524,0.171569
525,0.172423
526,0.172542
527,0.172764
528,0.169159
529,0.169979
530,0.170853
531,0.171733
532,0.172631
533,0.172437
534,0.171637
535,0.171824
536,0.172603
537,0.172505
538,0.171867
539,0.172642
540,0.172681
541,0.171829
542,0.170723
543,0.171537
544,0.172416
545,0.168389
546,0.169156
547,0.170001
548,0.170845
549,0.171710
550,0.172568
551,0.171505
552,0.171061
553,0.171749
554,0.172531
555,0.172559
556,0.172294
557,0.171886
558,0.172578
559,0.172591
560,0.172800
561,0.171886
562,0.172618
563,0.172767
564,0.170497
565,0.171358
566,0.172256
567,0.172379
568,0.172064
569,0.170411
570,0.171263
571,0.172125
572,0.173011
573,0.172855
574,0.172627
575,0.172841
576,0.172617
577,0.172313
578,0.172713
579,0.171904
580,0.172709
581,0.172593
582,0.172326
583,0.172998
584,0.172731
585,0.170546
586,0.171396
587,0.172267
588,0.172364
589,0.171849
590,0.168587
591,0.169349
592,0.170169
593,0.170996
594,0.171798
595,0.172659
596,0.171826
597,0.170838
598,0.172516
599,0.170499
600,0.171338
601,0.172344
602,0.172426
603,0.172667
604,0.171880
605,0.172509
606,0.172340
607,0.172000
608,0.171793
609,0.172588
610,0.172278
611,0.172112
612,0.170758
613,0.171372
614,0.172240
615,0.171762
616,0.172490
617,0.171866
618,0.172552
619,0.172462
620,0.172226
621,0.171892
622,0.172595
623,0.172399
624,0.172824
625,0.171825
626,0.172584
627,0.172687
628,0.172746
629,0.171737
630,0.170375
631,0.171271
632,0.172156
633,0.173025
634,0.170440
635,0.171229
636,0.172057
637,0.171773
638,0.172547
639,0.172427
640,0.172817
641,0.172307
642,0.171943
643,0.167951
644,0.168712
645,0.169583
646,0.170446
647,0.171331
648,0.170557
649,0.171414
650,0.172274
651,0.172396
652,0.172409
653,0.171887
654,0.172661
655,0.172747
656,0.171817
657,0.167304
658,0.168096
659,0.168950
660,0.169768
661,0.170636
662,0.171526
663,0.170926
664,0.171718
665,0.172571
666,0.172448
667,0.172895
668,0.171890
669,0.172674
670,0.172814
671,0.172476
672,0.171922
673,0.172710
674,0.172768
675,0.170508
676,0.171339
677,0.172183
678,0.172272
679,0.172748
680,0.172649
681,0.172627
682,0.172578
683,0.172929
684,0.172750
685,0.172819
686,0.172220
687,0.173045
688,0.172941
689,0.172859
690,0.172837
691,0.172781
692,0.172684
693,0.172637
694,0.172607
695,0.172616
696,0.172590
697,0.172371
698,0.172338
699,0.172714
700,0.172495
701,0.171858
702,0.168046
703,0.168795
704,0.169655
705,0.170491
706,0.171370
707,0.172262
708,0.172353
709,0.171153
710,0.171819
711,0.172701
712,0.171797
713,0.170483
714,0.170405
715,0.171218
716,0.170582
717,0.171349
718,0.172174
719,0.172992
720,0.173038
721,0.171808
722,0.172531
723,0.171992
724,0.172703
725,0.171832
726,0.172620
727,0.172716
728,0.172623
729,0.171826
730,0.172533
731,0.172458
732,0.172787
733,0.171801
734,0.171817
735,0.172638
736,0.172410
737,0.171841
738,0.171669
739,0.172414
740,0.172695
741,0.171825
742,0.172552
743,0.172442
744,0.171938
745,0.170763
