measurement,one_way_delay_us
1,0.278105
2,0.278336
3,0.278244
4,0.278305
5,0.278315
6,0.278344
7,0.278355
8,0.278365
9,0.278361
10,0.278315
11,0.278312
12,0.278345
13,0.278370
14,0.278362
15,0.278348
16,0.278359
17,0.278401
18,0.278395
19,0.278413
20,0.278396
21,0.268259
22,0.278003
23,0.278365
24,0.278345
25,0.278370
26,0.278357
27,0.278361
28,0.278388
29,0.278362
30,0.278332
31,0.278364
32,0.278353
33,0.278374
34,0.278352
35,0.278391
36,0.268314
37,0.277962
38,0.278347
39,0.278400
40,0.268205
41,0.277868
42,0.268341
43,0.265438
44,0.275191
45,0.278377
46,0.278364
47,0.268281
48,0.278027
49,0.278395
50,0.278408
51,0.268314
52,0.257906
53,0.267706
54,0.277558
55,0.257938
56,0.267735
57,0.277569
58,0.257823
59,0.267580
60,0.277466
61,0.257985
62,0.267809
63,0.257901
64,0.267742
65,0.277625
66,0.278336
67,0.278381
68,0.268293
69,0.277988
70,0.278406
71,0.278402
72,0.268313
73,0.277976
74,0.278369
75,0.278391
76,0.268267
77,0.278007
78,0.278356
79,0.278384
80,0.268298
81,0.277989
82,0.278375
83,0.278388
84,0.268278
85,0.277951
86,0.278311
87,0.278390
88,0.268260
89,0.277955
90,0.278381
91,0.278248
92,0.268322
93,0.277937
94,0.278389
95,0.257871
96,0.267633
97,0.277514
98,0.278374
99,0.278365
100,0.278352
101,0.278354
102,0.278249
103,0.278329
104,0.278336
105,0.278302
106,0.277939
107,0.278303
108,0.278345
109,0.278349
110,0.278342
111,0.278322
112,0.278330
113,0.278347
114,0.278326
115,0.268262
116,0.273953
117,0.278348
118,0.278392
119,0.268331
120,0.278062
121,0.278372
122,0.278333
123,0.268294
124,0.277954
125,0.278377
126,0.278356
127,0.268151
128,0.266248
129,0.276789
130,0.278309
131,0.278364
132,0.268299
133,0.278048
134,0.278378
135,0.278357
136,0.268241
137,0.277991
138,0.278355
139,0.278385
140,0.268328
141,0.277943
142,0.278375
143,0.278367
144,0.268251
145,0.277925
146,0.278344
147,0.278351
148,0.268244
149,0.277909
150,0.278367
151,0.278390
152,0.268294
153,0.262558
154,0.272350
155,0.278352
156,0.278364
157,0.268291
158,0.277927
159,0.278365
160,0.278390
161,0.268294
162,0.277972
163,0.268316
164,0.258194
165,0.267993
166,0.258196
167,0.268027
168,0.256030
169,0.265717
170,0.275602
171,0.278379
172,0.278400
173,0.268299
174,0.277975
175,0.278373
176,0.278379
177,0.268276
178,0.277982
179,0.278388
180,0.278412
181,0.268296
182,0.277963
183,0.278384
184,0.278409
185,0.268271
186,0.277980
187,0.278345
188,0.278378
189,0.268282
190,0.257835
191,0.267604
192,0.277431
193,0.278398
194,0.278406
195,0.268269
196,0.277965
197,0.278387
198,0.278392
199,0.268263
200,0.277958
201,0.278382
202,0.278314
203,0.268265
204,0.277903
205,0.278362
206,0.278374
207,0.268289
208,0.277976
209,0.278263
210,0.278361
211,0.268252
212,0.277885
213,0.278388
214,0.278403
215,0.228844
216,0.238575
217,0.248443
218,0.258338
219,0.268224
220,0.278048
221,0.278365
222,0.268284
223,0.277927
224,0.278381
225,0.278381
226,0.268286
227,0.277960
228,0.278356
229,0.268282
230,0.260895
231,0.270695
232,0.278387
233,0.278397
234,0.268292
235,0.277980
236,0.257853
237,0.267625
238,0.277499
239,0.278325
240,0.278348
241,0.268271
242,0.263095
243,0.272814
244,0.278364
245,0.217469
246,0.227239
247,0.237105
248,0.247020
249,0.256911
250,0.266818
251,0.276696
252,0.278332
253,0.278370
254,0.268275
255,0.277857
256,0.278374
257,0.278387
258,0.268243
259,0.277851
260,0.278362
261,0.278379
262,0.268289
263,0.277908
264,0.278390
265,0.278385
266,0.268266
267,0.277945
268,0.278377
269,0.278365
270,0.268228
271,0.257854
272,0.267639
273,0.277492
274,0.278391
275,0.278384
276,0.268253
277,0.277942
278,0.278373
279,0.278394
280,0.268276
281,0.277988
282,0.278348
283,0.278369
284,0.268224
285,0.277916
286,0.278390
287,0.278352
288,0.268204
289,0.277849
290,0.278343
291,0.278396
292,0.268234
293,0.277870
294,0.268289
295,0.260295
296,0.269977
297,0.278367
298,0.278378
299,0.268262
300,0.257682
301,0.267487
